,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:16:54.443000,NOR,4,0 days 00:01:50.421000,1.0,1.0,0 days 00:15:08.068000,,48.877,24.492,37.052,0 days 00:15:52.989000,0 days 00:16:17.554000,0 days 00:16:54.443000,240.0,171.0,310.0,53.0,False,SOFT,1.0,True,McLaren,0 days 00:15:08.068000,2025-03-15 05:02:39.667,1,,False,,False,False,110.421,110.42099999999999
1,0 days 00:18:10.446000,NOR,4,0 days 00:01:16.003000,2.0,1.0,,,26.383,17.285,32.335,0 days 00:17:20.826000,0 days 00:17:38.111000,0 days 00:18:10.446000,290.0,322.0,307.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:16:54.443000,2025-03-15 05:04:26.042,1,,False,,False,True,76.003,76.003
2,0 days 00:20:12.796000,NOR,4,0 days 00:02:02.350000,3.0,1.0,,0 days 00:19:55.246000,37.18,23.115,62.055,0 days 00:18:47.626000,0 days 00:19:10.741000,0 days 00:20:12.796000,227.0,236.0,,272.0,False,SOFT,3.0,True,McLaren,0 days 00:18:10.446000,2025-03-15 05:05:42.045,1,,False,,False,False,122.35,122.35
3,0 days 00:22:09.056000,NOR,4,0 days 00:01:56.260000,4.0,2.0,0 days 00:20:16.711000,,52.032,23.199,41.029,0 days 00:21:04.828000,0 days 00:21:28.027000,0 days 00:22:09.056000,228.0,237.0,313.0,96.0,False,SOFT,4.0,False,McLaren,0 days 00:20:12.796000,2025-03-15 05:07:44.395,1,,False,,False,False,116.26,116.25999999999999
4,0 days 00:23:24.968000,NOR,4,0 days 00:01:15.912000,5.0,2.0,,,26.463,17.116,32.333,0 days 00:22:35.519000,0 days 00:22:52.635000,0 days 00:23:24.968000,290.0,326.0,308.0,328.0,True,SOFT,5.0,False,McLaren,0 days 00:22:09.056000,2025-03-15 05:09:40.655,1,,False,,False,True,75.912,75.912
5,0 days 00:27:21.248000,NOR,4,,6.0,2.0,,0 days 00:25:05.842000,33.883,24.282,,0 days 00:23:58.904000,0 days 00:24:23.285000,,226.0,159.0,,274.0,False,SOFT,6.0,False,McLaren,0 days 00:23:24.968000,2025-03-15 05:10:56.567,12,,False,,False,False,,
6,0 days 00:29:38.405000,NOR,4,0 days 00:02:17.157000,7.0,3.0,0 days 00:27:30.951000,,74.266,24.466,38.425,0 days 00:28:35.514000,0 days 00:28:59.980000,0 days 00:29:38.405000,220.0,223.0,311.0,66.0,False,SOFT,7.0,False,McLaren,0 days 00:27:21.248000,2025-03-15 05:14:52.847,1,,False,,False,False,137.157,137.15699999999998
7,0 days 00:39:00.285000,NOR,4,,8.0,3.0,,0 days 00:31:09.955000,26.6,22.982,,0 days 00:30:05.039000,0 days 00:30:28.073000,,251.0,117.0,,326.0,False,SOFT,8.0,False,McLaren,0 days 00:29:38.405000,2025-03-15 05:17:10.004,12,,False,,False,False,,
8,0 days 00:40:52.920000,NOR,4,0 days 00:01:52.635000,9.0,4.0,0 days 00:39:05.869000,,51.455,22.688,38.492,0 days 00:39:51.740000,0 days 00:40:14.428000,0 days 00:40:52.920000,239.0,256.0,308.0,157.0,False,None,1.0,True,McLaren,0 days 00:39:00.285000,2025-03-15 05:26:31.884,1,,False,,False,False,112.635,112.63499999999999
9,0 days 00:42:08.476000,NOR,4,0 days 00:01:15.556000,10.0,4.0,,,26.104,17.122,32.33,0 days 00:41:19.024000,0 days 00:41:36.146000,0 days 00:42:08.476000,289.0,325.0,307.0,323.0,True,None,2.0,True,McLaren,0 days 00:40:52.920000,2025-03-15 05:28:24.519,1,,False,,False,True,75.556,75.556
10,0 days 00:49:49.068000,NOR,4,,11.0,4.0,,0 days 00:43:47.972000,34.117,22.732,,0 days 00:42:42.771000,0 days 00:43:05.398000,,221.0,218.0,,274.0,False,None,3.0,True,McLaren,0 days 00:42:08.476000,2025-03-15 05:29:40.075,1,,False,,False,False,,
11,0 days 00:52:08.055000,NOR,4,0 days 00:02:18.987000,12.0,5.0,0 days 00:50:07.700000,,74.171,23.02,41.796,0 days 00:51:03.239000,0 days 00:51:26.259000,0 days 00:52:08.055000,250.0,259.0,311.0,118.0,False,SOFT,4.0,False,McLaren,0 days 00:49:49.068000,2025-03-15 05:37:20.667,12,,False,,False,False,138.987,138.987
12,0 days 00:53:23.470000,NOR,4,0 days 00:01:15.415000,13.0,5.0,,,26.194,17.03,32.191,0 days 00:52:34.249000,0 days 00:52:51.279000,0 days 00:53:23.470000,289.0,325.0,310.0,328.0,True,SOFT,5.0,False,McLaren,0 days 00:52:08.055000,2025-03-15 05:39:39.654,1,,False,,False,True,75.415,75.415
13,0 days 01:00:38.208000,NOR,4,,14.0,5.0,,0 days 00:54:54.350000,31.704,20.887,,0 days 00:53:55.231000,0 days 00:54:16.122000,,250.0,244.0,,279.0,False,SOFT,6.0,False,McLaren,0 days 00:53:23.470000,2025-03-15 05:40:55.069,12,,False,,False,False,,
14,0 days 01:02:26.986000,NOR,4,0 days 00:01:48.778000,15.0,6.0,0 days 01:00:41.755000,,46.065,23.775,38.938,0 days 01:01:24.273000,0 days 01:01:48.048000,0 days 01:02:26.986000,232.0,271.0,311.0,90.0,False,SOFT,1.0,True,McLaren,0 days 01:00:38.208000,2025-03-15 05:48:09.807,1,,False,,False,False,108.778,108.778
15,0 days 01:03:42.907000,NOR,4,0 days 00:01:15.921000,16.0,6.0,,,26.127,17.057,32.737,0 days 01:02:53.113000,0 days 01:03:10.170000,0 days 01:03:42.907000,289.0,325.0,313.0,326.0,False,SOFT,2.0,True,McLaren,0 days 01:02:26.986000,2025-03-15 05:49:58.585,1,,True,TRACK LIMITS AT TURN 4 LAP 17 ,False,True,75.921,75.92099999999999
16,0 days 01:08:34.537000,NOR,4,,17.0,6.0,,0 days 01:05:06.983000,30.603,19.108,,0 days 01:04:13.594000,0 days 01:04:32.674000,,260.0,282.0,,290.0,False,SOFT,3.0,True,McLaren,0 days 01:03:42.907000,2025-03-15 05:51:14.506,1,,False,,False,False,,
17,0 days 01:10:28.640000,NOR,4,0 days 00:01:54.103000,18.0,7.0,0 days 01:08:40.457000,,54.303,21.966,37.834,0 days 01:09:28.840000,0 days 01:09:50.806000,0 days 01:10:28.640000,229.0,286.0,311.0,130.0,False,SOFT,1.0,True,McLaren,0 days 01:08:34.537000,2025-03-15 05:56:06.136,1,,False,,False,False,114.103,114.10300000000001
18,0 days 01:11:43.736000,NOR,4,0 days 00:01:15.096000,19.0,7.0,,,25.961,16.997,32.138,0 days 01:10:54.601000,0 days 01:11:11.598000,0 days 01:11:43.736000,288.0,325.0,310.0,326.0,True,SOFT,2.0,True,McLaren,0 days 01:10:28.640000,2025-03-15 05:58:00.239,1,,False,,False,True,75.096,75.096
19,0 days 01:13:23.775000,NOR,4,,20.0,7.0,,0 days 01:13:23.775000,32.565,20.416,,0 days 01:12:16.370000,0 days 01:12:36.666000,,225.0,186.0,,287.0,False,SOFT,3.0,True,McLaren,0 days 01:11:43.736000,2025-03-15 05:59:15.335,1,,False,,False,False,,
20,0 days 00:17:36.045000,PIA,81,0 days 00:01:46.474000,1.0,1.0,0 days 00:15:51.842000,,42.719,19.397,44.358,0 days 00:16:32.429000,0 days 00:16:51.687000,0 days 00:17:36.075000,259.0,309.0,306.0,152.0,False,SOFT,1.0,True,McLaren,0 days 00:15:51.842000,2025-03-15 05:03:23.441,1,,False,,False,False,106.474,106.47399999999999
