,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:46:50.347000,HAM,44,,1.0,1.0,,,,28.492,41.109,,0 days 00:46:09.327000,0 days 00:46:50.556000,280.0,273.0,258.0,309.0,False,MEDIUM,7.0,False,Ferrari,0 days 00:45:13.457000,2025-03-22 03:03:44.623,1,1.0,False,,False,False,,
1,0 days 00:48:25.746000,HAM,44,0 days 00:01:35.399000,2.0,1.0,,,25.591,28.731,41.077,0 days 00:47:16.014000,0 days 00:47:44.745000,0 days 00:48:25.822000,,275.0,260.0,312.0,True,MEDIUM,8.0,False,Ferrari,0 days 00:46:50.347000,2025-03-22 03:05:21.513,1,1.0,False,,False,True,95.399,95.399
2,0 days 00:50:01.897000,HAM,44,0 days 00:01:36.151000,3.0,1.0,,,25.832,29.044,41.275,0 days 00:48:51.654000,0 days 00:49:20.698000,0 days 00:50:01.973000,276.0,271.0,262.0,310.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:48:25.746000,2025-03-22 03:06:56.912,1,1.0,False,,False,True,96.151,96.15100000000001
3,0 days 00:51:37.961000,HAM,44,0 days 00:01:36.064000,4.0,1.0,,,25.776,29.077,41.211,0 days 00:50:27.749000,0 days 00:50:56.826000,0 days 00:51:38.037000,278.0,271.0,261.0,309.0,False,MEDIUM,10.0,False,Ferrari,0 days 00:50:01.897000,2025-03-22 03:08:33.063,1,1.0,False,,False,True,96.064,96.064
4,0 days 00:53:14.645000,HAM,44,0 days 00:01:36.684000,5.0,1.0,,,25.952,29.259,41.473,0 days 00:52:03.989000,0 days 00:52:33.248000,0 days 00:53:14.721000,276.0,270.0,261.0,309.0,False,MEDIUM,11.0,False,Ferrari,0 days 00:51:37.961000,2025-03-22 03:10:09.127,1,1.0,False,,False,True,96.684,96.684
5,0 days 00:54:50.994000,HAM,44,0 days 00:01:36.349000,6.0,1.0,,,25.9,28.936,41.513,0 days 00:53:40.621000,0 days 00:54:09.557000,0 days 00:54:51.070000,281.0,275.0,261.0,313.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:53:14.645000,2025-03-22 03:11:45.811,1,1.0,False,,False,True,96.349,96.34899999999999
6,0 days 00:56:27.611000,HAM,44,0 days 00:01:36.617000,7.0,1.0,,,25.957,29.346,41.314,0 days 00:55:17.027000,0 days 00:55:46.373000,0 days 00:56:27.687000,279.0,273.0,263.0,310.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:54:50.994000,2025-03-22 03:13:22.160,1,1.0,False,,False,True,96.617,96.61699999999999
7,0 days 00:58:03.614000,HAM,44,0 days 00:01:36.003000,8.0,1.0,,,25.656,29.046,41.301,0 days 00:56:53.343000,0 days 00:57:22.389000,0 days 00:58:03.690000,283.0,277.0,262.0,312.0,False,MEDIUM,14.0,False,Ferrari,0 days 00:56:27.611000,2025-03-22 03:14:58.777,1,1.0,False,,False,True,96.003,96.003
8,0 days 00:59:40.555000,HAM,44,0 days 00:01:36.941000,9.0,1.0,,,26.129,29.158,41.654,0 days 00:58:29.819000,0 days 00:58:58.977000,0 days 00:59:40.631000,281.0,274.0,261.0,312.0,False,MEDIUM,15.0,False,Ferrari,0 days 00:58:03.614000,2025-03-22 03:16:34.780,1,1.0,False,,False,True,96.941,96.941
9,0 days 01:01:17.427000,HAM,44,0 days 00:01:36.872000,10.0,1.0,,,25.914,29.19,41.768,0 days 01:00:06.545000,0 days 01:00:35.735000,0 days 01:01:17.503000,280.0,273.0,262.0,313.0,False,MEDIUM,16.0,False,Ferrari,0 days 00:59:40.555000,2025-03-22 03:18:11.721,1,1.0,False,,False,True,96.872,96.872
10,0 days 01:02:54.129000,HAM,44,0 days 00:01:36.702000,11.0,1.0,,,25.995,29.07,41.637,0 days 01:01:43.498000,0 days 01:02:12.568000,0 days 01:02:54.205000,283.0,274.0,262.0,314.0,False,MEDIUM,17.0,False,Ferrari,0 days 01:01:17.427000,2025-03-22 03:19:48.593,1,1.0,False,,False,True,96.702,96.702
11,0 days 01:04:31.055000,HAM,44,0 days 00:01:36.926000,12.0,1.0,,,26.0,29.191,41.735,0 days 01:03:20.205000,0 days 01:03:49.396000,0 days 01:04:31.131000,280.0,273.0,262.0,309.0,False,MEDIUM,18.0,False,Ferrari,0 days 01:02:54.129000,2025-03-22 03:21:25.295,1,1.0,False,,False,True,96.926,96.926
12,0 days 01:06:08.421000,HAM,44,0 days 00:01:37.366000,13.0,1.0,,,26.121,29.446,41.799,0 days 01:04:57.252000,0 days 01:05:26.698000,0 days 01:06:08.497000,282.0,276.0,263.0,312.0,False,MEDIUM,19.0,False,Ferrari,0 days 01:04:31.055000,2025-03-22 03:23:02.221,1,1.0,False,,False,True,97.366,97.366
