,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:16:56.537000,VER,1,,1.0,1.0,0 days 00:15:09.698000,,,48.538,20.841,,0 days 00:16:35.918000,0 days 00:16:56.637000,272.0,262.0,270.0,224.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:15:09.698000,2025-04-05 02:30:10.724,1,,False,,False,False,,
1,0 days 00:18:26.934000,VER,1,0 days 00:01:30.397000,2.0,1.0,,,31.575,40.778,18.044,0 days 00:17:28.112000,0 days 00:18:08.890000,0 days 00:18:26.934000,285.0,292.0,268.0,291.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:16:56.537000,2025-04-05 02:31:57.563,1,,False,,False,True,90.397,90.39699999999999
2,0 days 00:21:14.339000,VER,1,,3.0,1.0,,,60.856,79.358,27.037,0 days 00:19:28.057000,0 days 00:20:47.307000,0 days 00:21:14.339000,126.0,187.0,269.0,179.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:18:26.934000,2025-04-05 02:33:27.960,1,,False,,False,False,,167.251
3,0 days 00:30:09.689000,VER,1,,4.0,1.0,,0 days 00:23:25.934000,,,,,,,,,,,False,HARD,4.0,True,Red Bull Racing,0 days 00:21:14.339000,2025-04-05 02:36:15.365,15,,False,,False,False,,
4,0 days 00:32:50.039000,VER,1,,5.0,2.0,0 days 00:30:09.689000,,,42.949,22.417,,0 days 00:32:27.862000,0 days 00:32:50.081000,272.0,289.0,254.0,290.0,False,HARD,5.0,False,Red Bull Racing,0 days 00:30:09.689000,2025-04-05 02:45:10.715,1,,False,,False,False,,
5,0 days 00:34:24.343000,VER,1,0 days 00:01:34.304000,6.0,2.0,,,33.698,42.235,18.371,0 days 00:33:23.737000,0 days 00:34:05.972000,0 days 00:34:24.343000,278.0,290.0,258.0,288.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:32:50.039000,2025-04-05 02:47:51.065,1,,False,,False,True,94.304,94.30399999999999
6,0 days 00:35:58.777000,VER,1,0 days 00:01:34.434000,7.0,2.0,,,33.657,42.388,18.389,0 days 00:34:58,0 days 00:35:40.388000,0 days 00:35:58.777000,275.0,289.0,258.0,287.0,False,HARD,7.0,False,Red Bull Racing,0 days 00:34:24.343000,2025-04-05 02:49:25.369,1,,False,,False,True,94.434,94.43399999999998
7,0 days 00:37:32.716000,VER,1,0 days 00:01:33.939000,8.0,2.0,,,33.34,42.352,18.247,0 days 00:36:32.117000,0 days 00:37:14.469000,0 days 00:37:32.716000,276.0,290.0,257.0,288.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:35:58.777000,2025-04-05 02:50:59.803,1,,False,,False,True,93.939,93.93900000000001
8,0 days 00:39:06.809000,VER,1,0 days 00:01:34.093000,9.0,2.0,,,33.534,42.35,18.209,0 days 00:38:06.250000,0 days 00:38:48.600000,0 days 00:39:06.809000,,289.0,258.0,287.0,False,HARD,9.0,False,Red Bull Racing,0 days 00:37:32.716000,2025-04-05 02:52:33.742,1,,False,,False,True,94.093,94.093
9,0 days 00:40:40.975000,VER,1,0 days 00:01:34.166000,10.0,2.0,,,33.173,42.383,18.61,0 days 00:39:39.982000,0 days 00:40:22.365000,0 days 00:40:40.975000,,288.0,258.0,289.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:39:06.809000,2025-04-05 02:54:07.835,1,,False,,False,True,94.166,94.16600000000001
10,0 days 00:42:14.898000,VER,1,0 days 00:01:33.923000,11.0,2.0,,,33.061,42.577,18.285,0 days 00:41:14.036000,0 days 00:41:56.613000,0 days 00:42:14.898000,280.0,291.0,259.0,291.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:40:40.975000,2025-04-05 02:55:42.001,1,,False,,False,True,93.923,93.923
11,0 days 00:43:52.790000,VER,1,0 days 00:01:37.892000,12.0,2.0,,,33.432,42.731,21.729,0 days 00:42:48.330000,0 days 00:43:31.061000,0 days 00:43:52.790000,279.0,292.0,260.0,235.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:42:14.898000,2025-04-05 02:57:15.924,1,,False,,False,True,97.892,97.89200000000001
12,0 days 00:45:26.341000,VER,1,0 days 00:01:33.551000,13.0,2.0,,,32.965,42.37,18.216,0 days 00:44:25.755000,0 days 00:45:08.125000,0 days 00:45:26.341000,278.0,292.0,260.0,291.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:43:52.790000,2025-04-05 02:58:53.816,1,,False,,False,True,93.551,93.55100000000002
13,0 days 00:47:00.223000,VER,1,0 days 00:01:33.882000,14.0,2.0,,,33.09,42.493,18.299,0 days 00:45:59.431000,0 days 00:46:41.924000,0 days 00:47:00.223000,277.0,292.0,261.0,291.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:45:26.341000,2025-04-05 03:00:27.367,1,,False,,False,True,93.882,93.882
14,0 days 00:48:39.317000,VER,1,0 days 00:01:39.094000,15.0,2.0,,0 days 00:48:38.073000,34.077,42.933,22.084,0 days 00:47:34.300000,0 days 00:48:17.233000,0 days 00:48:39.317000,279.0,290.0,,278.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:47:00.223000,2025-04-05 03:02:01.249,1,,False,,False,False,99.094,99.094
15,0 days 00:59:13.503000,VER,1,,16.0,3.0,0 days 00:57:10.499000,,,60.261,19.251,,0 days 00:58:54.359000,0 days 00:59:13.594000,235.0,257.0,271.0,268.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:48:39.317000,2025-04-05 03:03:40.343,1,,False,,False,False,,
16,0 days 01:00:42.188000,VER,1,0 days 00:01:28.685000,17.0,3.0,,,30.801,40.172,17.712,0 days 00:59:44.304000,0 days 01:00:24.476000,0 days 01:00:42.188000,285.0,292.0,269.0,290.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:59:13.503000,2025-04-05 03:14:14.529,1,,False,,False,True,88.685,88.685
17,0 days 01:03:33.533000,VER,1,,18.0,3.0,,0 days 01:03:32.080000,63.105,76.071,32.09,0 days 01:01:45.564000,0 days 01:03:01.471000,0 days 01:03:33.533000,107.0,151.0,,147.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:00:42.188000,2025-04-05 03:15:43.214,1,,False,,False,False,,171.266
18,0 days 01:06:21.285000,VER,1,,19.0,4.0,0 days 01:03:58.159000,,82.423,62.725,22.7,0 days 01:04:56.097000,0 days 01:05:58.722000,0 days 01:06:21.285000,129.0,155.0,270.0,171.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:03:33.533000,2025-04-05 03:18:34.559,1,,False,,False,False,,167.84799999999998
19,0 days 01:07:49.782000,VER,1,0 days 00:01:28.497000,20.0,4.0,,,30.756,40.226,17.515,0 days 01:06:52.041000,0 days 01:07:32.267000,0 days 01:07:49.782000,285.0,295.0,268.0,291.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:06:21.285000,2025-04-05 03:21:22.311,1,,False,,False,True,88.497,88.497
20,0 days 00:17:38.481000,NOR,4,,1.0,1.0,0 days 00:15:45.433000,0 days 00:17:37.137000,,46.168,23.575,,0 days 00:17:15.043000,0 days 00:17:38.481000,265.0,274.0,,258.0,False,HARD,1.0,True,McLaren,0 days 00:15:45.433000,2025-04-05 02:30:46.459,1,,False,,False,False,,
21,0 days 00:30:44.238000,NOR,4,,2.0,2.0,0 days 00:29:02.292000,,,45.251,19.428,,0 days 00:30:25.095000,0 days 00:30:44.548000,269.0,275.0,271.0,257.0,False,SOFT,1.0,True,McLaren,0 days 00:29:02.292000,2025-04-05 02:44:03.318,1,,False,,False,False,,
22,0 days 00:32:13.695000,NOR,4,0 days 00:01:29.457000,3.0,2.0,,,31.503,40.287,17.667,0 days 00:31:15.741000,0 days 00:31:56.028000,0 days 00:32:13.695000,287.0,300.0,268.0,298.0,True,SOFT,2.0,True,McLaren,0 days 00:30:44.238000,2025-04-05 02:45:45.264,1,,False,,False,True,89.457,89.457
23,0 days 00:34:43.363000,NOR,4,0 days 00:02:29.668000,4.0,2.0,,,49.85,73.532,26.286,0 days 00:33:03.545000,0 days 00:34:17.077000,0 days 00:34:43.363000,214.0,104.0,269.0,220.0,False,SOFT,3.0,True,McLaren,0 days 00:32:13.695000,2025-04-05 02:47:14.721,1,,False,,False,True,149.668,149.668
24,0 days 00:36:47.405000,NOR,4,0 days 00:02:04.042000,5.0,2.0,,,30.963,71.684,21.395,0 days 00:35:14.326000,0 days 00:36:26.010000,0 days 00:36:47.405000,285.0,153.0,269.0,231.0,False,SOFT,4.0,True,McLaren,0 days 00:34:43.363000,2025-04-05 02:49:44.389,1,,False,,False,True,124.042,124.04199999999999
25,0 days 00:38:16.223000,NOR,4,0 days 00:01:28.818000,6.0,2.0,,,30.923,40.242,17.653,0 days 00:37:18.328000,0 days 00:37:58.570000,0 days 00:38:16.223000,286.0,295.0,268.0,293.0,True,SOFT,5.0,True,McLaren,0 days 00:36:47.405000,2025-04-05 02:51:48.431,1,,False,,False,True,88.818,88.81799999999998
