,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:27.472000,VER,1,,1.0,1.0,0 days 00:16:26.862000,,,51.475,20.064,,0 days 00:18:07.456000,0 days 00:18:27.472000,237.0,194.0,272.0,249.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:16:26.862000,2025-04-05 06:02:48.742,1,,False,,False,False,,
1,0 days 00:19:55.832000,VER,1,0 days 00:01:28.360000,2.0,1.0,,,30.856,40.015,17.489,0 days 00:18:58.328000,0 days 00:19:38.343000,0 days 00:19:55.832000,288.0,298.0,270.0,297.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:27.472000,2025-04-05 06:04:49.352,1,,False,,False,True,88.36,88.36000000000001
2,0 days 00:22:00.136000,VER,1,0 days 00:02:04.304000,3.0,1.0,,0 days 00:21:58.895000,45.737,52.077,26.49,0 days 00:20:41.569000,0 days 00:21:33.646000,0 days 00:22:00.136000,248.0,190.0,,235.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:55.832000,2025-04-05 06:06:17.712,1,,False,,False,False,124.304,124.30399999999999
3,0 days 00:29:01.988000,VER,1,,4.0,2.0,0 days 00:27:02.770000,,,51.956,19.667,,0 days 00:28:42.493000,0 days 00:29:02.196000,204.0,268.0,273.0,234.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:22:00.136000,2025-04-05 06:08:22.016,1,,False,,False,False,,
4,0 days 00:30:29.931000,VER,1,0 days 00:01:27.943000,5.0,2.0,,,30.696,39.718,17.529,0 days 00:29:32.684000,0 days 00:30:12.402000,0 days 00:30:29.931000,288.0,299.0,270.0,297.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:29:01.988000,2025-04-05 06:15:23.868,1,,False,,False,True,87.943,87.943
5,0 days 00:32:20.580000,VER,1,0 days 00:01:50.649000,6.0,2.0,,0 days 00:32:19.350000,40.294,46.588,23.767,0 days 00:31:10.225000,0 days 00:31:56.813000,0 days 00:32:20.580000,254.0,260.0,,262.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:30:29.931000,2025-04-05 06:16:51.811,1,,False,,False,False,110.649,110.649
6,0 days 00:40:38.528000,VER,1,,7.0,3.0,0 days 00:38:41.094000,,,53.604,19.924,,0 days 00:40:18.604000,0 days 00:40:38.541000,190.0,231.0,273.0,245.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:20.580000,2025-04-05 06:18:42.460,1,,False,,False,False,,
7,0 days 00:42:06.030000,VER,1,0 days 00:01:27.502000,8.0,3.0,,,30.51,39.641,17.351,0 days 00:41:09.038000,0 days 00:41:48.679000,0 days 00:42:06.030000,288.0,300.0,271.0,299.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:40:38.528000,2025-04-05 06:27:00.408,1,,False,,False,True,87.502,87.502
8,0 days 00:44:10.427000,VER,1,0 days 00:02:04.397000,9.0,3.0,,0 days 00:44:08.137000,44.853,54.756,24.788,0 days 00:42:50.883000,0 days 00:43:45.639000,0 days 00:44:10.427000,172.0,248.0,,255.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:42:06.030000,2025-04-05 06:28:27.910,1,,False,,False,False,124.397,124.397
9,0 days 00:58:59.808000,VER,1,,10.0,4.0,0 days 00:57:00.384000,,,52.275,20.201,,0 days 00:58:39.607000,0 days 00:58:59.951000,211.0,192.0,272.0,255.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:57:00.384000,2025-04-05 06:43:22.264,1,,False,,False,False,,
